No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
16,08:07:30,29.000,43.660,41.690,42.760,41.380,30.290,0.673,17.548,17.584,0.500,0.705,473.800,661.300,1.396,8.778,12.394,0.547,0.770,21.347,21.386,0.752,0.753,8.774,12.397,0.189,9.798,9.919,0.018,4155.000,51.173,40.943,9.798,50.861,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
17,08:08:00,29.020,44.230,42.250,42.160,40.790,30.290,0.676,17.514,17.619,0.501,0.708,475.100,663.600,1.397,8.783,12.469,0.548,0.773,21.310,21.425,0.752,0.753,8.775,12.474,0.189,9.772,9.946,0.018,4155.000,51.401,40.983,9.772,50.929,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
18,08:08:30,29.040,44.770,42.790,41.660,40.270,30.300,0.678,17.482,17.650,0.502,0.710,475.900,665.100,1.398,8.777,12.525,0.549,0.776,21.274,21.458,0.751,0.752,8.776,12.532,0.189,9.757,9.969,0.018,4155.000,51.553,41.011,9.757,50.980,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
19,08:09:00,29.060,45.300,43.310,41.220,39.830,30.300,0.679,17.451,17.676,0.502,0.711,476.300,666.100,1.399,8.765,12.566,0.549,0.777,21.240,21.487,0.752,0.753,8.760,12.568,0.189,9.732,9.983,0.018,4155.000,51.629,41.010,9.732,50.993,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
20,08:09:30,29.070,45.810,43.810,40.840,39.450,30.310,0.680,17.421,17.699,0.502,0.712,476.500,666.800,1.399,8.750,12.599,0.549,0.778,21.208,21.512,0.752,0.753,8.745,12.602,0.189,9.711,9.999,0.018,4155.000,51.705,41.027,9.711,51.027,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
21,08:10:00,29.090,46.290,44.280,40.520,39.110,30.310,0.681,17.393,17.718,0.502,0.713,476.800,667.700,1.400,8.738,12.632,0.549,0.779,21.177,21.533,0.752,0.753,8.731,12.633,0.189,9.689,10.011,0.018,4155.000,51.781,41.032,9.689,51.043,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
22,08:10:30,29.110,46.730,44.720,40.240,38.830,30.310,0.683,17.366,17.735,0.503,0.715,477.400,669.000,1.401,8.733,12.672,0.550,0.781,21.148,21.552,0.751,0.753,8.735,12.681,0.189,9.681,10.029,0.018,4155.000,51.933,41.073,9.681,51.102,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
23,08:11:00,29.130,47.150,45.130,39.990,38.580,30.320,0.685,17.342,17.750,0.504,0.717,478.600,671.000,1.402,8.738,12.724,0.551,0.783,21.121,21.568,0.751,0.753,8.740,12.727,0.189,9.663,10.035,0.018,4155.000,52.085,41.070,9.663,51.106,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
24,08:11:30,29.150,47.530,45.500,39.780,38.350,30.320,0.689,17.319,17.763,0.506,0.720,480.300,673.900,1.403,8.756,12.790,0.553,0.787,21.096,21.582,0.751,0.753,8.763,12.789,0.189,9.654,10.041,0.018,4155.000,52.389,41.132,9.654,51.174,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
25,08:12:00,29.160,47.880,45.850,39.580,38.160,30.330,0.693,17.298,17.774,0.508,0.724,482.600,677.600,1.404,8.785,12.871,0.555,0.791,21.073,21.595,0.751,0.753,8.787,12.868,0.189,9.634,10.048,0.018,4155.000,52.693,41.145,9.634,51.193,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.4x
26,08:12:30,29.180,48.200,46.170,39.410,37.990,30.330,0.698,17.279,17.785,0.511,0.729,485.400,682.000,1.405,8.823,12.963,0.558,0.797,21.052,21.606,0.751,0.753,8.830,12.965,0.189,9.624,10.059,0.018,4155.000,53.073,41.175,9.624,51.233,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
27,08:13:00,29.190,48.490,46.470,39.250,37.830,30.340,0.704,17.262,17.794,0.514,0.734,488.400,686.600,1.406,8.867,13.060,0.561,0.802,21.033,21.617,0.751,0.753,8.873,13.061,0.189,9.612,10.065,0.018,4155.000,53.530,41.250,9.612,51.315,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
28,08:13:30,29.210,48.750,46.740,39.100,37.700,30.340,0.709,17.246,17.802,0.517,0.739,491.400,691.300,1.407,8.911,13.155,0.565,0.808,21.016,21.626,0.750,0.753,8.916,13.156,0.189,9.600,10.069,0.018,4155.000,53.910,41.261,9.600,51.330,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
29,08:14:00,29.220,48.990,46.980,38.980,37.570,30.340,0.715,17.232,17.810,0.519,0.744,494.000,695.500,1.408,8.950,13.243,0.568,0.813,21.000,21.634,0.750,0.753,8.943,13.251,0.189,9.579,10.080,0.018,4155.000,54.366,41.359,9.579,51.439,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
30,08:14:30,29.240,49.200,47.210,38.860,37.470,30.350,0.719,17.219,17.816,0.522,0.747,496.200,699.100,1.409,8.981,13.317,0.570,0.817,20.986,21.641,0.751,0.753,8.988,13.309,0.189,9.584,10.072,0.018,4155.000,54.670,41.376,9.584,51.448,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
31,08:15:00,29.250,49.410,47.430,38.760,37.370,30.350,0.722,17.206,17.822,0.523,0.750,497.800,701.800,1.410,9.002,13.373,0.572,0.820,20.972,21.647,0.750,0.753,8.999,13.367,0.189,9.565,10.077,0.018,4155.000,54.898,41.389,9.565,51.466,ON,Intermittent thin clouds; Hybrid loop operating; Ceff=1.41x
