No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg�K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
16,08:07:30,29.290,44.660,42.680,42.000,40.620,30.480,0.749,17.489,17.629,0.536,0.772,507.900,723.400,1.424,9.372,13.602,0.586,0.843,21.282,21.436,0.751,0.753,9.374,13.610,0.189,9.765,9.954,0.018,4155.000,56.951,41.655,9.765,51.609,ON,Mostly clear; Hybrid loop operating; Ceff=1.42x
17,08:08:00,29.320,45.250,43.270,41.600,40.220,30.490,0.754,17.454,17.653,0.538,0.776,510.500,727.500,1.425,9.396,13.702,0.588,0.848,21.244,21.462,0.752,0.753,9.390,13.699,0.189,9.732,9.963,0.018,4155.000,57.332,41.696,9.732,51.659,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
18,08:08:30,29.340,45.820,43.830,41.260,39.870,30.500,0.758,17.420,17.673,0.540,0.780,512.400,730.800,1.426,9.409,13.783,0.590,0.852,21.206,21.484,0.752,0.753,9.407,13.785,0.189,9.713,9.980,0.018,4155.000,57.636,41.728,9.713,51.709,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
19,08:09:00,29.360,46.370,44.380,40.980,39.580,30.510,0.760,17.387,17.690,0.541,0.783,513.700,733.100,1.427,9.411,13.844,0.592,0.855,21.171,21.503,0.751,0.753,9.406,13.851,0.189,9.688,9.997,0.018,4155.000,57.788,41.707,9.688,51.704,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
20,08:09:30,29.390,46.900,44.900,40.740,39.340,30.520,0.762,17.356,17.705,0.542,0.784,514.500,734.700,1.428,9.404,13.888,0.592,0.857,21.136,21.519,0.752,0.753,9.407,13.881,0.189,9.674,9.996,0.018,4155.000,57.940,41.726,9.674,51.722,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
21,08:10:00,29.410,47.410,45.390,40.540,39.130,30.520,0.764,17.326,17.717,0.542,0.786,515.000,735.900,1.429,9.392,13.921,0.592,0.859,21.103,21.532,0.752,0.753,9.391,13.926,0.189,9.648,10.012,0.018,4155.000,58.092,41.767,9.648,51.779,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
22,08:10:30,29.430,47.890,45.860,40.370,38.950,30.530,0.765,17.298,17.727,0.542,0.787,515.300,736.900,1.430,9.380,13.950,0.593,0.860,21.073,21.543,0.751,0.753,9.376,13.951,0.189,9.627,10.017,0.018,4155.000,58.168,41.765,9.627,51.782,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
23,08:11:00,29.450,48.340,46.300,40.220,38.800,30.540,0.767,17.272,17.736,0.543,0.788,515.800,738.100,1.431,9.372,13.982,0.593,0.862,21.044,21.553,0.751,0.753,9.379,13.976,0.189,9.621,10.019,0.018,4155.000,58.320,41.806,9.621,51.825,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
24,08:11:30,29.470,48.750,46.710,40.090,38.660,30.540,0.769,17.247,17.744,0.543,0.790,516.800,739.900,1.432,9.373,14.025,0.594,0.864,21.017,21.562,0.751,0.753,9.365,14.018,0.189,9.588,10.024,0.018,4155.000,58.472,41.813,9.588,51.837,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
25,08:12:00,29.490,49.130,47.080,39.980,38.550,30.550,0.772,17.225,17.751,0.545,0.793,518.300,742.600,1.433,9.385,14.082,0.595,0.867,20.992,21.569,0.751,0.753,9.388,14.077,0.189,9.583,10.029,0.018,4155.000,58.700,41.824,9.583,51.853,ON,Mostly clear; Hybrid loop operating; Ceff=1.43x
